QQQ Shares,DIA Shares,IBB Shares,Capital,TLT Shares,Date,QQQ Close,QQQ Dividend,DIA Close,DIA Dividend,IBB Close,IBB Dividend,TLT Close,TLT Dividend
0.0,0.0,0.0,10000.0,115.9017153453871,2003-01-02,25.4,0.0,86.18,0.0,17.0,0.0,86.28,0.0
0.0,0.0,0.0,10023.180343069078,115.9017153453871,2003-01-03,25.68,0.0,86.36,0.0,16.86,0.0,86.48,0.0
0.0,0.0,0.0,9996.522948539638,115.9017153453871,2003-01-06,26.32,0.0,87.67,0.0,17.07,0.0,86.25,0.0
0.0,0.0,0.0,10032.452480296708,115.9017153453871,2003-01-07,26.65,0.0,87.72,0.0,16.93,0.0,86.56,0.0
0.0,0.0,0.0,10082.290217895223,115.9017153453871,2003-01-08,25.9,0.0,86.17,0.0,16.5,0.0,86.99,0.0
0.0,0.0,0.0,9888.734353268426,115.9017153453871,2003-01-09,26.7,0.0,87.78,0.0,16.82,0.0,85.32,0.0
0.0,0.0,0.0,9914.232730644413,115.9017153453871,2003-01-10,27.1,0.0,87.99,0.0,17.22,0.0,85.54,0.0
0.0,0.0,0.0,9930.458970792768,115.9017153453871,2003-01-13,26.94,0.0,88.09,0.0,17.47,0.0,85.68,0.0
0.0,0.0,0.0,9965.229485396383,115.9017153453871,2003-01-14,27.08,0.0,88.44,0.0,17.6,0.0,85.98,0.0
0.0,0.0,0.0,10013.908205841446,115.9017153453871,2003-01-15,26.74,0.0,87.68,0.0,17.5,0.0,86.4,0.0
0.0,0.0,0.0,10027.816411682892,115.9017153453871,2003-01-16,26.44,0.0,87.3,0.0,17.73,0.0,86.52,0.0
0.0,0.0,0.0,10077.654149281409,115.9017153453871,2003-01-17,25.31,0.0,86.11,0.059000000000000004,17.47,0.0,86.95,0.0
0.0,0.0,0.0,10135.605006954103,115.9017153453871,2003-01-21,25.03,0.0,84.68,0.0,17.14,0.0,87.45,0.0
0.0,0.0,0.0,10185.442744552618,115.9017153453871,2003-01-22,24.93,0.0,83.36,0.0,17.19,0.0,87.88,0.0
0.0,0.0,0.0,10135.605006954103,115.9017153453871,2003-01-23,25.51,0.0,83.44,0.0,17.34,0.0,87.45,0.0
0.0,0.0,0.0,10195.873898933703,115.9017153453871,2003-01-24,24.82,0.0,81.4,0.0,16.77,0.0,87.97,0.0
0.0,0.0,0.0,10158.78535002318,115.9017153453871,2003-01-27,24.53,0.0,80.15,0.0,16.25,0.0,87.65,0.0
0.0,0.0,0.0,10158.78535002318,115.9017153453871,2003-01-28,24.78,0.0,80.76,0.0,16.58,0.0,87.65,0.0
0.0,0.0,0.0,10103.152526657394,115.9017153453871,2003-01-29,25.15,0.0,81.08,0.0,16.5,0.0,87.17,0.0
0.0,0.0,0.0,10178.488641631895,115.9017153453871,2003-01-30,24.5,0.0,79.3,0.0,16.17,0.0,87.82,0.0
0.0,0.0,0.0,10206.305053314789,115.9017153453871,2003-01-31,24.44,0.0,80.84,0.0,16.19,0.0,88.06,0.0
0.0,0.0,0.0,10221.140472878997,116.30792527172278,2003-02-03,24.49,0.0,81.12,0.0,16.08,0.0,87.88,0.308
0.0,0.0,0.0,10266.50056373497,116.30792527172278,2003-02-04,24.19,0.0,80.48,0.0,15.75,0.0,88.27,0.0
0.0,0.0,0.0,10178.10654052846,116.30792527172278,2003-02-05,24.08,0.0,80.12,0.0,15.7,0.0,87.51,0.0
0.0,0.0,0.0,10260.685167471383,116.30792527172278,2003-02-06,24.21,0.0,79.67,0.0,15.67,0.0,88.22,0.0
0.0,0.0,0.0,10283.946752525728,116.30792527172278,2003-02-07,23.81,0.0,78.85,0.0,15.85,0.0,88.42,0.0
0.0,0.0,0.0,10211.83583885726,116.30792527172278,2003-02-10,24.02,0.0,79.43,0.0,15.97,0.0,87.8,0.0
0.0,0.0,0.0,10209.509680351826,116.30792527172278,2003-02-11,24.15,0.0,78.7,0.0,15.95,0.0,87.78,0.0
0.0,0.0,0.0,10245.56513718606,116.30792527172278,2003-02-12,23.82,0.0,77.73,0.0,15.77,0.0,88.09,0.0
0.0,0.0,0.0,10301.392941316486,116.30792527172278,2003-02-13,23.94,0.0,78.02,0.0,15.55,0.0,88.57,0.0
0.0,0.0,0.0,10212.998918109977,116.30792527172278,2003-02-14,24.49,0.0,79.6,0.0,15.76,0.0,87.81,0.0
0.0,0.0,0.0,10225.792789889867,116.30792527172278,2003-02-18,25.25,0.0,80.85,0.0,15.97,0.0,87.92,0.0
0.0,0.0,0.0,10295.5775450529,116.30792527172278,2003-02-19,25.08,0.0,80.54,0.0,16.02,0.0,88.52,0.0
0.0,0.0,0.0,10330.469922634416,116.30792527172278,2003-02-20,24.98,0.0,79.62,0.0,15.83,0.0,88.82,0.0
0.0,0.0,0.0,10269.98980149312,116.30792527172278,2003-02-21,25.17,0.0,80.24,0.249,16.05,0.0,88.3,0.0
0.0,0.0,0.0,10318.839130107244,116.30792527172278,2003-02-24,24.74,0.0,78.71,0.0,15.64,0.0,88.72,0.0
0.0,0.0,0.0,10366.52537946865,116.30792527172278,2003-02-25,24.77,0.0,79.33,0.0,15.74,0.0,89.13,0.0
0.0,0.0,0.0,10438.636293137119,116.30792527172278,2003-02-26,24.22,0.0,78.26,0.0,15.56,0.0,89.75,0.0
0.0,0.0,0.0,10456.082481927879,116.30792527172278,2003-02-27,24.77,0.0,79.04,0.0,15.85,0.0,89.9,0.0
0.0,0.0,0.0,10522.377999332759,116.30792527172278,2003-02-28,25.16,0.0,79.31,0.0,15.95,0.0,90.47,0.0
0.0,0.0,0.0,10535.171871112649,116.74614218874832,2003-03-03,24.65,0.0,78.59,0.0,15.75,0.0,90.24,0.34
0.0,0.0,0.0,10542.176639643973,116.74614218874832,2003-03-04,24.5,0.0,77.26,0.0,15.68,0.0,90.3,0.0
