Calendar for  only Earnings

October 2012
Date est,Date act,Time est,Time act,Symbol,Quarter,EPS est,EPS act,Status
10/11/12,10/11/12,After Market,5:00:00 PM CDT,OZRK,Q3,0.548,0.55,Verified
10/11/12,10/11/12,After Market,6:08:00 PM CDT,HTLD,Q3,0.183,0.14,Verified
10/12/12,,Before Market,,INFY,Q2,0.744,0.75,Verified
10/12/12,10/12/12,Before Market,5:45:00 AM CDT,IGTE,Q3,0.344,0.46,Verified
10/12/12,10/12/12,Before Market,5:59:00 AM CDT,JPM,Q3,1.202,1.4,Verified
10/12/12,10/12/12,Before Market,6:00:00 AM CDT,KMG,Q4,0.33,0.34,Verified
10/12/12,10/12/12,Before Market,6:55:00 AM CDT,WBS,Q3,0.463,0.48,Verified
10/12/12,10/12/12,Before Market,7:00:00 AM CDT,WFC,Q3,0.873,0.88,Verified
10/12/12,10/12/12,Before Market,8:00:00 AM CDT,DRH,Q3,0.184,0.18,Verified
10/15/12,,Before Market,,CX,Q3,-0.091,<empty>,Verified
10/15/12,,After Market,,FTWR,Q1,<empty>,<empty>,Unconfirmed
10/15/12,,Before Market,,JCDA,Q2,<empty>,<empty>,Unconfirmed
10/15/12,,After Market,,LNCR,Q3,<empty>,<empty>,Unconfirmed
10/15/12,10/15/12,Unspecified,6:13:00 AM CDT,PRXI,Q2,<empty>,0.06,Verified
10/15/12,10/15/12,Before Market,6:59:00 AM CDT,C,Q3,0.975,1.06,Verified
10/15/12,10/15/12,Unspecified,7:00:00 AM CDT,NEPT,Q2,0.01,<empty>,Verified
10/15/12,10/15/12,Before Market,7:30:00 AM CDT,GCI,Q3,0.536,0.58,Verified
10/15/12,10/15/12,Before Market,7:30:00 AM CDT,IBCA,Q3,<empty>,0.1,Verified
10/15/12,10/15/12,Before Market,7:45:00 AM CDT,SCHW,Q3,0.168,0.19,Verified
10/15/12,10/15/12,Before Market,8:00:00 AM CDT,ARTW,Q3,<empty>,0.24,Verified
10/15/12,10/15/12,Unspecified,10:17:00 AM CDT,SAR,Q2,0.48,1.26,Verified
10/15/12,10/15/12,During Market,11:25:00 AM CDT,AXN,Q4,<empty>,<empty>,Verified
10/15/12,10/15/12,After Market,3:00:00 PM CDT,ICUI,Q3,0.688,0.82,Verified
10/15/12,10/15/12,After Market,3:00:00 PM CDT,JOEZ,Q3,-0.005,0.02,Verified
10/15/12,10/15/12,After Market,3:00:00 PM CDT,WDFC,Q4,0.7,0.56,Verified
10/15/12,10/15/12,After Market,3:15:00 PM CDT,CPSS,Q3,<empty>,0.11,Verified
10/15/12,10/15/12,After Market,3:15:00 PM CDT,ENZ,Q4,-0.07,-0.69,Verified
10/15/12,10/15/12,After Market,3:31:00 PM CDT,VIDE,Q2,<empty>,0.02,Verified
10/15/12,10/15/12,Unspecified,3:38:00 PM CDT,CPSL,Q4,<empty>,-2.32,Verified
10/15/12,10/15/12,After Market,3:55:00 PM CDT,PTSC,Q1,<empty>,0,Verified
10/15/12,10/15/12,After Market,3:59:00 PM CDT,NHTB,Q3,<empty>,0.32,Verified
10/15/12,10/15/12,After Market,4:00:00 PM CDT,PKG,Q3,0.559,0.55,Verified
10/15/12,10/15/12,After Market,4:23:00 PM CDT,BRO,Q3,0.352,0.34,Verified
10/15/12,10/15/12,Unspecified,4:25:00 PM CDT,CVLY,Q3,<empty>,0.4,Verified
10/15/12,10/15/12,After Market,4:47:00 PM CDT,CAW,Q3,<empty>,0.06,Verified
10/15/12,10/15/12,After Market,5:30:00 PM CDT,SOCB,Q3,<empty>,0.16,Verified
10/16/12,,After Market,,FSII,Q4,<empty>,<empty>,Unconfirmed
10/16/12,10/16/12,Before Market,5:00:00 AM CDT,MAT,Q3,0.996,1.04,Verified
10/16/12,10/16/12,Before Market,5:00:00 AM CDT,UNH,Q3,1.345,1.5,Verified
10/16/12,10/16/12,Before Market,5:05:00 AM CDT,MBWM,Q3,0.337,0.3,Verified
10/16/12,10/16/12,Before Market,5:30:00 AM CDT,PNC,Q3,1.609,1.64,Verified
10/16/12,10/16/12,Before Market,5:30:00 AM CDT,WWW,Q3,0.723,0.72,Verified
10/16/12,10/16/12,Before Market,6:00:00 AM CDT,CBSH,Q3,0.773,0.75,Verified
10/16/12,10/16/12,Before Market,6:00:00 AM CDT,DFRG,Q3,0.056,0.1,Verified
10/16/12,10/16/12,Before Market,6:00:00 AM CDT,IRWD,Q3,0.148,0.42,Verified
10/16/12,10/16/12,Before Market,6:00:00 AM CDT,OMC,Q3,0.728,0.74,Verified
10/16/12,10/16/12,Before Market,6:30:00 AM CDT,DPZ,Q3,0.409,0.43,Verified
10/16/12,10/16/12,Before Market,6:30:00 AM CDT,KO,Q3,0.504,0.51,Verified
10/16/12,10/16/12,Before Market,6:35:00 AM CDT,GS,Q3,2.182,2.85,Verified
10/16/12,10/16/12,Before Market,6:45:00 AM CDT,JNJ,Q3,1.203,1.25,Verified
10/16/12,10/16/12,Before Market,6:50:00 AM CDT,STT,Q3,0.963,0.99,Verified
10/16/12,10/16/12,Before Market,7:00:00 AM CDT,ASRV,Q3,<empty>,0.05,Verified
10/16/12,10/16/12,Before Market,7:00:00 AM CDT,FRX,Q2,-0.001,0.15,Verified
10/16/12,10/16/12,Before Market,7:04:00 AM CDT,GWW,Q3,2.904,2.15,Verified
10/16/12,10/16/12,Before Market,7:28:00 AM CDT,LBAI,Q3,0.204,0.2,Verified
10/16/12,10/16/12,During Market,1:00:00 PM CDT,FSBK,Q3,<empty>,0.1,Verified
10/16/12,10/16/12,During Market,1:00:00 PM CDT,SVBI,Q3,<empty>,0.02,Verified
10/16/12,10/16/12,After Market,3:00:00 PM CDT,APOL,Q4,0.488,0.52,Verified
