date,ticker,name,reports,period,epsWallStreet,epsEstimize,epsActual,revWallStreet,revEstimize,revActual
12/20/2016,CVGW,Calavo Growers Inc.,BMO,FQ4 ‘16,0.47,0.46,0.53,231.59,249.21,247.66
12/21/2016,AIR,AAR Corp.,AMC,FQ2 ‘17,,0.28,0.35,,417.16,423.8
12/21/2016,PAYX,Paychex Inc.,BMO,FQ2 ‘17,0.55,0.56,0.56,779.2,781.03,771.4
12/21/2016,RHT,"Red Hat, Inc.",AMC,FQ3 ‘17,0.58,0.59,0.61,618.46,621.19,615.26
12/21/2016,BBBY,"Bed Bath & Beyond, Inc.",AMC,FQ3 ‘16,1,1.01,0.85,3019,3018,2955
12/21/2016,MU,Micron Technology Inc.,AMC,FQ1 ‘17,0.28,0.26,0.32,3886,3852,3970
12/21/2016,CAMP,CalAmp Corp.,AMC,FQ3 ‘17,0.26,0.27,0.21,83.49,83.86,83.35
12/21/2016,ACN,Accenture plc,BMO,FQ1 ‘17,1.49,1.5,1.58,8571,8603,8516
12/21/2016,WGO,Winnebago Industries Inc.,BMO,FQ1 ‘17,0.35,0.36,0.32,221.05,222.24,245.3
12/21/2016,MLHR,Herman Miller Inc.,AMC,FQ2 ‘17,0.55,0.55,0.54,593.95,594.14,577.5
12/21/2016,ATU,Actuant Corporation,BMO,FQ1 ‘17,0.17,0.18,0.2,267.83,270.08,265.79
12/21/2016,NEOG,Neogen Corp.,BMO,FQ2 ‘17,0.21,0.21,0.22,89.8,88.81,90.72
12/21/2016,LNN,Lindsay Corporation,BMO,FQ1 ‘17,0.54,0.64,0.08,121.29,122.23,110.39
12/22/2016,CALM,"Cal-Maine Foods, Inc.",AMC,FQ2 ‘17,0.61,0.46,-0.48,365.9,355.44,253.54
12/22/2016,CTAS,Cintas Corporation,AMC,FQ2 ‘17,1.16,1.19,1.15,1291,1296,1297
12/22/2016,RAD,Rite Aid Corp.,BMO,FQ3 ‘17,0.03,0.05,0.02,8230,8235,8090
12/22/2016,CAG,"Conagra Brands, Inc.",BMO,FQ2 ‘17,0.45,0.48,0.49,2107,2110,2088
1/4/2017,SONC,Sonic Corp.,AMC,FQ1 ‘17,0.22,0.23,0.24,132.59,133.32,129.55
1/4/2017,RECN,Resources Connection Inc.,AMC,FQ2 ‘17,0.19,0.19,0.18,145.61,145.72,147.56
1/4/2017,UNF,UniFirst Corp.,BMO,FQ1 ‘17,1.58,1.61,1.38,392.53,392.47,386.11
1/4/2017,LNDC,Landec Corporation,AMC,FQ2 ‘17,0.06,0.08,0.08,139.58,139.85,135.87
1/5/2017,HELE,Helen of Troy Limited,AMC,FQ3 ‘17,1.91,1.9,2.37,448.6,449.75,444.41
1/5/2017,SCHN,Schnitzer Steel Industries Inc.,BMO,FQ1 ‘17,0.04,0.02,-0.03,325.25,324.66,334.16
1/5/2017,PSMT,PriceSmart Inc.,AMC,FQ1 ‘17,,0.77,0.82,,724.86,739.57
1/5/2017,RPM,RPM International Inc.,BMO,FQ2 ‘17,0.6,0.61,0.52,1168,1166,1191
1/5/2017,FC,Franklin Covey Company,AMC,FQ1 ‘17,-0.17,-0.08,-0.29,41.88,42.56,39.79
1/5/2017,WBA,Walgreens Boots Alliance,BMO,FQ1 ‘17,1.09,1.1,1.1,29373,29180,28501
1/5/2017,STZ,Constellation Brands Inc.,BMO,FQ3 ‘17,1.72,1.72,1.96,1801,1793,1811
1/6/2017,AZZ,AZZ Incorporated,BMO,FQ3 ‘17,1,0.97,0.7,267.25,261.3,227.46
1/6/2017,GBX,Greenbrier Companies,BMO,FQ1 ‘17,0.84,0.84,0.79,505.7,506.5,552.31
1/6/2017,ANGO,AngioDynamics Inc.,BMO,FQ2 ‘17,0.16,0.17,0.19,91.4,91.54,89.03
1/9/2017,CMC,Commercial Metals Company,BMO,FQ1 ‘17,0.17,0.18,0.06,1137,1157,1075
1/9/2017,AYI,"Acuity Brands, Inc.",BMO,FQ1 ‘17,2.18,2.18,2,887.08,887.37,851.2
1/9/2017,WDFC,WD-40 Company,AMC,FQ1 ‘17,0.87,0.9,0.82,96.3,96.41,89.25
1/9/2017,SHLM,"A. Schulman, Inc.",AMC,FQ1 ‘17,0.47,0.47,0.49,622.43,622.9,600
1/10/2017,LMNR,Limoneira Co,AMC,FQ4 ‘16,-0.06,-0.06,-0.08,15.14,15.34,19.53
1/10/2017,SNX,SYNNEX Corp.,AMC,FQ4 ‘16,2.09,2.1,2.57,3886,3895,3887
1/11/2017,KBH,KB Home,AMC,FQ4 ‘16,0.37,0.39,0.4,1159,1146,1192
1/11/2017,SVU,SUPERVALU Inc.,BMO,FQ3 ‘17,0.89,0.96,0.35,3036,3137,3003
1/11/2017,MSM,MSC Industrial Direct Co. Inc.,BMO,FQ1 ‘17,0.93,0.94,0.95,685.18,684.05,686.27
1/12/2017,SJR,Shaw Communications Inc,BMO,FQ1 ‘17,,0.21,0.26,,855.45,1011
1/12/2017,DAL,Delta Air Lines Inc.,BMO,FQ4 ‘16,0.82,0.84,0.82,9421,9351,9458
1/13/2017,JPM,JPMorgan Chase & Co.,BMO,FQ4 ‘16,1.42,1.47,1.58,23244,23652,24333
1/13/2017,BAC,Bank of America Corporation,BMO,FQ4 ‘16,0.38,0.4,0.4,20617,20868,20224
1/13/2017,PNC,PNC Financial Services Group Inc.,BMO,FQ4 ‘16,1.86,1.87,1.97,3865,3871,3874
1/13/2017,BLK,"BlackRock, Inc.",BMO,FQ4 ‘16,5.02,5.09,5.14,2945,2966,2890
1/13/2017,WFC,Wells Fargo & Company,BMO,FQ4 ‘16,1,1.01,0.96,22435,22417,21582
1/17/2017,UNH,"Unitedhealth Group, Inc.",BMO,FQ4 ‘16,2.08,2.1,2.11,46857,46952,47523
1/17/2017,IBKR,"Interactive Brokers Group, Inc.",AMC,FQ4 ‘16,0.33,0.34,0.07,296.5,309.92,193
1/17/2017,UAL,"United Continental Holdings, Inc.",AMC,FQ4 ‘16,1.65,1.57,1.78,9059,8966,9052
1/17/2017,EDU,New Oriental Education & Technology Group,BMO,FQ2 ‘17,,,0.08,,,341.24
1/17/2017,INFO,IHS Markit Ltd,BMO,FQ4 ‘16,0.46,0.46,0.48,882.9,882.25,873.8
1/17/2017,ADTN,ADTRAN Inc.,AMC,FQ4 ‘16,0.1,0.13,0.21,152.03,152.78,162.99
1/17/2017,CSX,CSX Corp.,AMC,FQ4 ‘16,0.5,0.5,0.49,2862,2854,3037
1/17/2017,MS,Morgan Stanley,BMO,FQ4 ‘16,0.65,0.71,0.74,8454,8609,9021
1/18/2017,NFLX,"Netflix, Inc.",AMC,FQ4 ‘16,0.13,0.15,0.15,2468,2468,2478
1/18/2017,NTRS,Northern Trust Corporation,BMO,FQ4 ‘16,1.14,1.15,1.11,1255,1259,1241
1/18/2017,GS,"The Goldman Sachs Group, Inc.",BMO,FQ4 ‘16,4.76,4.92,5.08,7503,7601,8170
1/18/2017,NVEC,NVE Corporation,AMC,FQ3 ‘17,0.64,,0.72,7.4,,7.46
1/18/2017,CP,Canadian Pacific Railway Limited,AMC,FQ4 ‘16,2.37,2.39,2.28,1257,1252,1228
1/18/2017,KMI,"Kinder Morgan, Inc.",AMC,FQ4 ‘16,0.18,0.16,0.18,3322,3331,3389
1/18/2017,AMTD,TD Ameritrade Holding Corporation,BMO,FQ1 ‘17,0.41,0.41,0.41,860.73,858.22,859
1/18/2017,CTBI,Community Trust Bancorp Inc.,BMO,FQ4 ‘16,0.71,0.71,0.67,46.94,46.92,45.93
1/18/2017,SCHW,Charles Schwab Corp.,BMO,FQ4 ‘16,0.36,0.37,0.36,1989,1993,1972
1/18/2017,FAST,Fastenal Company,BMO,FQ4 ‘16,0.38,0.38,0.4,951.15,951.18,947.95
1/18/2017,PLXS,Plexus Corp.,AMC,FQ1 ‘17,0.76,0.78,0.82,649.19,640.22,635.02
1/18/2017,SLM,SLM Corporation,AMC,FQ4 ‘16,0.15,0.15,0.15,237.87,239.05,245.43
1/18/2017,USB,U.S. Bancorp,BMO,FQ4 ‘16,0.81,0.82,0.82,5352,5379,5435
1/18/2017,PTC,PTC Inc.,AMC,FQ1 ‘17,0.26,0.25,0.26,284.98,285.65,287.24
1/18/2017,CNS,Cohen & Steers Inc.,AMC,FQ4 ‘16,0.48,0.48,0.48,91.3,92.23,89.46
1/18/2017,C,"Citigroup, Inc.",BMO,FQ4 ‘16,1.11,1.15,1.14,17045,17213,17012
1/18/2017,FUL,HB Fuller Co.,AMC,FQ4 ‘16,0.75,0.75,0.74,564.99,562.21,574.91
1/19/2017,BK,The Bank of New York Mellon Corporation,BMO,FQ4 ‘16,0.78,0.8,0.77,3845,3867,3786
1/19/2017,AXP,American Express Company,AMC,FQ4 ‘16,0.98,1.04,0.91,7937,7978,8022
1/19/2017,TEAM,Atlassian Corporation Plc,AMC,FQ2 ‘17,0.08,0.1,0.09,143.89,144.9,148.91
1/19/2017,UNP,Union Pacific Corporation,BMO,FQ4 ‘16,1.34,1.34,1.39,5144,5131,5168
1/19/2017,BSET,Bassett Furniture Inds,BMO,FQ4 ‘16,,,0.47,,,113.79
1/19/2017,HOMB,"Home Bancshares, Inc.",BMO,FQ4 ‘16,0.33,0.34,0.33,127.15,127.79,127.04
1/19/2017,CHKP,Check Point Software Technologies Ltd.,BMO,FQ4 ‘16,1.25,1.26,1.46,477.5,477.69,486.71
1/19/2017,IBM,International Business Machines Corp.,AMC,FQ4 ‘16,4.89,4.92,5.01,21592,21688,21770
1/19/2017,PPG,PPG Industries Inc.,BMO,FQ4 ‘16,1.18,1.2,1.19,3552,3561,3497
1/19/2017,TAL,TAL Education Group,BMO,FQ3 ‘17,,,0.26,,,260.55
1/19/2017,GATX,GATX Corp.,BMO,FQ4 ‘16,1.05,1.1,1.14,363.55,358.04,362.1
1/19/2017,WNS,WNS (Holdings) Limited,BMO,FQ3 ‘17,0.42,0.43,0.49,137.56,138.84,139.8
1/19/2017,SWKS,Skyworks Solutions Inc.,AMC,FQ1 ‘17,1.58,1.6,1.61,902.29,905.73,914.3
1/19/2017,JBHT,JB Hunt Transport Services Inc.,BMO,FQ4 ‘16,1,1.01,0.97,1712,1718,1721
1/19/2017,MTG,MGIC Investment Corporation,BMO,FQ4 ‘16,0.22,0.23,0.28,255.75,258.7,266.52
1/20/2017,PG,Procter & Gamble Co.,BMO,FQ2 ‘17,1.07,1.08,1.08,16801,16854,16856
1/20/2017,STI,"SunTrust Banks, Inc.",BMO,FQ4 ‘16,0.88,0.89,0.9,2172,2185,2192
1/20/2017,SLB,Schlumberger Limited,BMO,FQ4 ‘16,0.27,0.29,0.27,7042,7110,7107
1/20/2017,COL,Rockwell Collins Inc.,BMO,FQ1 ‘17,1.15,1.15,1.2,1203,1204,1193
1/20/2017,KSU,Kansas City Southern,BMO,FQ4 ‘16,1.17,1.2,1.12,608.1,602.4,598.5
1/20/2017,SYF,Synchrony Financial,BMO,FQ4 ‘16,0.67,0.69,0.7,3513,3526,3628
1/23/2017,SIMO,Silicon Motion Technology Corp.,AMC,FQ4 ‘16,0.89,0.94,0.95,141.95,144.7,144.2
1/23/2017,WWD,"Woodward, Inc.",AMC,FQ1 ‘17,0.5,0.52,0.73,450.22,453.11,442.89
1/23/2017,JJSF,J&J Snack Foods Corp.,AMC,FQ1 ‘17,0.64,0.65,0.72,225.35,225.3,225.57
